Shooter,Contested,NDD,Release_Angle,CAS
77725,0,NA,42.790225329411214,1.0
78852,0,NA,51.356297358789384,1.0
68012,1,67927.0,48.39000832654387,1.0
78846,0,NA,42.390245717670545,1.0
77728,0,NA,40.40386070095526,1.0
77727,0,NA,55.262231057146316,1.0
68012,0,NA,47.70662087065707,1.0
67906,0,NA,15.274604181626845,1.0
78846,0,NA,2.3626688877765583,1.0
68012,0,NA,18.998560094928237,
68001,0,NA,63.72184557601546,1.0
77727,0,NA,4.817896671921591,
77727,0,NA,44.991804304373844,
67906,1,68002.0,3.923820494297648,1.0
77727,0,NA,5.7093870543204055,
78852,0,NA,41.237264576707354,1.0
78846,0,NA,17.73720411109863,1.0
68001,0,NA,70.0033870167509,1.0
78845,0,NA,54.43381331253737,1.0
68012,0,NA,35.480218784585794,
78845,0,NA,44.48253910712241,1.0
77727,1,67906.0,46.654008194200074,
68001,0,NA,50.498616759743555,1.0
77728,0,NA,51.351266505137396,1.0
67906,1,77727.0,61.16767505788236,1.0
67906,1,68012.0,38.8974514346176,1.0
68011,0,NA,47.127216754388,1.0
68011,0,NA,46.90684670055779,1.0
68012,0,NA,46.909122212978524,
67906,0,NA,33.07027680025562,1.0
67927,0,NA,30.53122060328906,1.0
77727,0,NA,48.95701810441851,
77727,0,NA,18.866089229705636,1.0
67927,0,NA,37.08577228863428,1.0
78846,0,NA,52.991347395940075,1.0
78852,0,NA,33.26339901403815,1.0
68011,0,NA,44.77333961205249,1.0
68012,0,NA,46.600246059374435,
67906,0,NA,38.602449594915704,1.0
77726,0,NA,29.63526035007102,1.0
78852,0,NA,51.03930590003345,1.0
77727,0,NA,29.23095657984153,
68011,0,NA,63.53874541138948,1.0
67906,1,68002.0,46.16862128386915,1.0
78846,0,NA,54.944112715907465,1.0
67906,0,NA,32.296760242329896,1.0
68012,1,78845.0,46.27201409295996,
68012,1,78848.0,42.015887962125056,
78846,0,NA,52.20549424789851,1.0
68012,0,NA,36.93577628109752,
68001,0,NA,45.544483302480394,1.0
77727,0,NA,36.60759865302265,
