Shooter,Contested,NDD,Release_Angle,CAS
67927,1,67884.0,67.00999184387086,1.0
67883,1,67906.0,42.44254503322556,1.0
67884,0,NA,56.148818737032165,1.0
67927,0,NA,27.909907093315663,1.0
67927,0,NA,53.54904431603049,1.0
67921,0,NA,36.7879793444538,1.0
78845,0,NA,37.74344221268104,1.0
67884,0,NA,58.3511591354307,1.0
67885,0,NA,42.08959837597866,1.0
78846,0,NA,51.37928697180604,1.0
67906,0,NA,36.178394993724964,1.0
78848,0,NA,57.39955843077716,1.0
67883,0,NA,37.212804837700695,1.0
78852,0,NA,38.674735015841414,1.0
67884,0,NA,51.97442982892772,1.0
67906,0,NA,36.35109704152705,1.0
78845,1,67897.0,55.04811306787867,
67881,1,67927.0,28.020070055623428,1.0
67884,0,NA,50.94851814704885,1.0
67885,0,NA,48.93704909433098,1.0
78848,0,NA,39.527274311712205,1.0
67927,0,NA,49.06163847260608,1.0
78846,0,NA,48.78697855476883,1.0
67884,1,67927.0,53.51765428894636,1.0
67887,0,NA,32.580999534864056,1.0
67883,1,78845.0,12.5807460318275,1.0
78845,0,NA,6.410391148015182,1.0
67897,0,NA,3.442589059676606,
67906,0,NA,5.9432557627344496,1.0
67884,1,67906.0,63.119692148671014,1.0
67884,0,NA,46.88700682721259,1.0
67906,0,NA,51.23061071071427,1.0
67897,1,78845.0,69.96589494199239,1.0
67921,0,NA,38.17570723610068,1.0
67927,0,NA,41.188022436026735,1.0
67883,1,78845.0,47.41760709980006,1.0
67927,0,NA,47.57161740881094,1.0
67883,1,67906.0,44.93525447197631,1.0
67887,1,78845.0,46.90665560341454,1.0
67884,0,NA,44.773258261189454,1.0
78852,0,NA,47.88634006127197,1.0
67887,0,NA,41.870395963843315,1.0
67927,0,NA,41.12532679643486,1.0
78852,0,NA,46.68062490679947,1.0
67884,1,67927.0,49.82229919265231,1.0
67881,0,NA,42.621417843041876,1.0
78845,0,NA,48.55448328434694,1.0
67881,0,NA,37.56564749766985,1.0
67883,0,NA,48.166913659923274,
67927,1,67883.0,51.56432916275221,1.0
67881,0,NA,48.9378347504464,1.0
78845,0,NA,51.74277965063637,1.0
78845,0,NA,37.02774038022812,1.0
67883,0,NA,50.18446753229854,1.0
67927,1,67897.0,56.19605739697958,
78845,0,NA,33.482984689537545,1.0
67885,1,78845.0,47.24881826777825,1.0
78852,0,NA,42.52004494838262,1.0
67887,1,78845.0,49.74416589907321,1.0
67887,0,NA,62.94016182145147,1.0
