Shooter,Contested,NDD,Release_Angle,CAS
79832,0,NA,49.59835027015069,1.0
67883,1,67351,53.50811618779501,1.0
67339,0,NA,37.22701892802826,1.0
67884,1,67351,38.355063712001794,1.0
67884,1,67351,53.125014140145716,1.0
67346,1,67887,37.16557901091836,1.0
67346,0,NA,46.84187606600067,1.0
67885,0,NA,34.7566658431681,1.0
67897,1,67342,32.82650208154279,1.0
67339,0,NA,41.286529525722386,
67887,0,NA,31.561355060802324,1.0
67349,0,NA,54.79119161453893,1.0
79832,0,NA,47.45868611592745,1.0
78377,0,NA,26.902628939855102,1.0
67886,0,NA,38.34530387486227,1.0
67351,0,NA,44.200331273948365,1.0
67339,0,NA,40.498335553725965,
67337,0,NA,50.579875247839375,1.0
67337,0,NA,49.546644563993105,1.0
67881,0,NA,45.5954955573689,1.0
67337,1,67887,34.97522981664019,1.0
67339,1,67884,44.48512620567233,1.0
67346,1,67887,49.27019448961328,
67887,0,NA,40.96629737001588,
67346,0,NA,29.40859684651642,
67883,0,NA,48.24291091925129,1.0
67346,1,67885,44.22705604528976,1.0
67346,0,NA,43.72456353948731,
67885,0,NA,36.10458629648087,1.0
67884,0,NA,52.925526327820975,1.0
67337,0,NA,48.978504952409914,1.0
67349,0,NA,36.616281788735144,1.0
67349,1,67887,29.371255749049514,1.0
67346,1,67881,35.41554276756652,
67884,0,NA,55.612292983644075,1.0
67337,0,NA,51.936898434437765,1.0
67881,0,NA,42.342464852535045,1.0
67339,0,NA,36.422479189765376,1.0
67881,0,NA,52.04858622932129,1.0
67349,0,NA,45.007289745556605,1.0
78370,0,NA,45.00313868720243,1.0
67339,0,NA,40.9829799822596,
67884,0,NA,52.69384999708177,1.0
67346,1,67897,54.438677402155825,1.0
67337,0,NA,76.0610104505136,1.0
67897,0,NA,44.775123823771544,1.0
67346,0,NA,32.41843798243164,1.0
67884,0,NA,41.9590398339497,1.0
67339,0,NA,48.416386938526216,1.0
78377,1,67337,32.20229750486359,
