Shooter,Contested,NDD,Release_Angle,CAS
77727,1,67339.0,40.42337169362625,1.0
68001,0,NA,39.20269828826152,
68011,1,67346.0,55.539472579179225,1.0
68012,0,NA,46.92260858381471,1.0
68012,1,67342.0,35.05049293993892,
67339,0,NA,55.45617258356831,1.0
67346,0,NA,50.397586918162524,1.0
67339,0,NA,36.14797120746646,1.0
68002,0,NA,56.13144461247853,
68002,1,67346.0,37.86031915391229,
67339,0,NA,65.25137468480418,1.0
67337,0,NA,35.481008115241245,1.0
68018,0,NA,38.88036082315694,1.0
79832,1,77725.0,45.57282733274066,1.0
77727,0,NA,35.98262631289992,1.0
68012,0,NA,26.42671920099687,1.0
77727,1,67342.0,48.38108636059591,
67344,0,NA,52.04094350969314,1.0
67349,0,NA,46.45442738566455,1.0
